iter	RMSE
0	0.2400868204
1	0.2338878334
2	0.2279178118
3	0.2223265746
4	0.2171122249
5	0.2120699539
6	0.2073653438
7	0.2024549518
8	0.1979204775
9	0.1932948432
10	0.1894945938
11	0.1850418048
12	0.1815259467
13	0.1776604768
14	0.173826753
15	0.1702695251
16	0.1670779378
17	0.163892104
18	0.1611513311
19	0.1586759916
20	0.1559477825
21	0.1534679124
22	0.1508367711
23	0.1485711641
24	0.1461876231
25	0.1438608835
26	0.1414214831
27	0.1394628394
28	0.1373718867
29	0.135887235
30	0.1338522529
31	0.1319536885
32	0.130041351
33	0.1284823031
34	0.1269709693
35	0.1253065252
36	0.1240090723
37	0.1225275992
38	0.1211259401
39	0.1198903846
40	0.1186440881
41	0.1173699686
42	0.1162412394
43	0.1149511004
44	0.1139823262
45	0.1129583386
46	0.1118153623
47	0.1108438721
48	0.1102229922
49	0.1095252914
50	0.1086484061
51	0.1078907378
52	0.1071626784
53	0.1064853771
54	0.1057447686
55	0.1050285295
56	0.1043103865
57	0.1037631926
58	0.1030709027
59	0.1025698936
60	0.1019631758
61	0.1014464376
62	0.1010312633
63	0.1005238483
64	0.09993243812
65	0.09939248869
66	0.09897546926
67	0.09848316575
68	0.09807311222
69	0.09761270998
70	0.09710067547
71	0.09674511032
72	0.09629360906
73	0.0958372738
74	0.09536592466
75	0.09497663472
76	0.09453613527
77	0.0942202737
78	0.09384603667
79	0.09348251199
80	0.09314450375
81	0.09278280723
82	0.09245722162
83	0.09222550245
84	0.09186527024
85	0.09157725205
86	0.09130326318
87	0.09105585834
88	0.0908233682
89	0.09054478766
90	0.09034729232
91	0.09004574681
92	0.08982941171
93	0.08966565837
94	0.08936645103
95	0.08924684082
96	0.08910180047
97	0.08894805652
98	0.08874165545
99	0.08848398678
100	0.08832738482
101	0.08807266052
102	0.08789938791
103	0.08774758753
104	0.08756606165
105	0.08738404195
106	0.08723566679
107	0.08707729812
108	0.08691724685
109	0.08665369696
110	0.08653366272
111	0.08644586136
112	0.08620332729
113	0.0860425531
114	0.0858782038
115	0.08574318033
116	0.08554012134
117	0.08542570983
118	0.08526659159
119	0.08505996021
120	0.08490597216
121	0.08471707305
122	0.08455583062
123	0.08441360366
124	0.08424124049
125	0.0840880469
126	0.08396379265
127	0.08382961145
128	0.0836711208
129	0.08355529433
130	0.08340759581
131	0.08326029902
132	0.08312544733
133	0.08300125483
134	0.08291827945
135	0.08284352427
136	0.08268838062
137	0.0825702498
138	0.08246268475
139	0.08235056055
140	0.08221225383
141	0.08210941896
142	0.08192750275
143	0.08183582606
144	0.08176832571
145	0.08165882402
146	0.08156567264
147	0.0814102979
148	0.08135736852
149	0.0812979544
150	0.08125126815
151	0.08113296083
152	0.0809619646
153	0.08086165327
154	0.08078443615
155	0.08066886289
156	0.08051710387
157	0.08041750249
158	0.08025558084
159	0.08024221508
160	0.08005316306
161	0.07994739606
162	0.07986340716
163	0.07976933077
164	0.07962959982
165	0.07953764274
166	0.07940077338
167	0.079354252
168	0.07929817775
169	0.07923341659
170	0.07909931443
171	0.07900783245
172	0.07893726159
173	0.07885108093
174	0.07874342078
175	0.07858843423
176	0.0784328978
177	0.07830989936
178	0.0782312724
179	0.07809533726
180	0.07806327206
181	0.07794994643
182	0.07790355026
183	0.07782685972
184	0.07771146416
185	0.07756740601
186	0.07751145428
187	0.07746889437
188	0.07736769622
189	0.07723071837
190	0.07710857483
191	0.07697663996
192	0.07687828242
193	0.0767879999
194	0.07672313286
195	0.07657010563
196	0.07645431984
197	0.07642510056
198	0.07635460871
199	0.07629454675
200	0.07620325502
201	0.07614259118
202	0.07609509337
203	0.07597940824
204	0.07585644504
205	0.07568766238
206	0.07557271276
207	0.07545796966
208	0.0753829725
209	0.07528286106
210	0.07521613445
211	0.07512452974
212	0.07507325542
213	0.07501552941
214	0.07494196193
215	0.07490977494
216	0.07489051525
217	0.07482897426
218	0.0747903684
219	0.07468485572
220	0.07458252911
221	0.07451459256
222	0.07444579681
223	0.07432278724
224	0.07425989187
225	0.07419875827
226	0.07415078164
227	0.07408814145
228	0.07389598043
229	0.07383535758
230	0.07381771632
231	0.07373842344
232	0.07365378632
233	0.07355258919
234	0.07352426877
235	0.07350282615
236	0.0734486582
237	0.07342838366
238	0.07337245631
239	0.07327016566
240	0.0731986789
241	0.07305457165
242	0.07297549282
243	0.07287241998
244	0.07277983709
245	0.07269545046
246	0.07258602659
247	0.07255780904
248	0.07246350062
249	0.07244682452
250	0.07237506619
251	0.07229582772
252	0.07216734708
253	0.07203205632
254	0.0719252469
255	0.07177920761
256	0.07168996257
257	0.0716499941
258	0.07159397722
259	0.07146001414
260	0.0714321383
261	0.07135429014
262	0.07126935309
263	0.07115587476
264	0.07110361395
265	0.07099690739
266	0.07093186446
267	0.07085509081
268	0.07080439127
269	0.07071125525
270	0.07057576443
271	0.07054953613
272	0.07045070171
273	0.07035358618
274	0.07030160098
275	0.07023293475
276	0.07018527355
277	0.07013697264
278	0.07005273246
279	0.06995793232
280	0.0698674488
281	0.06975765141
282	0.06965111009
283	0.06952697291
284	0.06948330474
285	0.069452482
286	0.06936336468
287	0.0692713771
288	0.06919088394
289	0.06915242784
290	0.0690426203
291	0.06897905794
292	0.06894401206
293	0.06884728961
294	0.06873847014
295	0.06871889547
296	0.06869113052
297	0.06853777347
298	0.06844206301
